item_description,quantity,unit_price,total_price,category,year,region
"Laptop Dell Latitude 5420",5,15000000,75000000,"Electronics",2023,"Jakarta"
"Paper A4 80gsm",100,50000,5000000,"Office Supplies",2023,"Jakarta"
"Printer Epson L3110",2,2500000,5000000,"Electronics",2023,"Bandung"
"Meeting Chair",50,1200000,60000000,"Furniture",2023,"Surabaya"
"High End Server",1,500000000,500000000,"IT Infrastructure",2023,"Jakarta"
"Laptop High Spec",2,45000000,90000000,"Electronics",2023,"Jakarta"
"Paper A4 80gsm",20,150000,3000000,"Office Supplies",2023,"Semarang"
"Consulting Services",1,100000000,100000000,"Services",2023,"Jakarta"
"Catering Box",500,75000,37500000,"Food & Beverage",2023,"Yogyakarta"
"Construction Sand",100,300000,30000000,"Construction",2023,"Bali"
"Cement 50kg",200,85000,17000000,"Construction",2023,"Bali"
"Luxury Office Desk",1,25000000,25000000,"Furniture",2023,"Jakarta"
"Standard Office Desk",10,3500000,35000000,"Furniture",2023,"Bandung"
"Ballpoint Pen",1000,15000,15000000,"Office Supplies",2023,"Jakarta"
"Scanner Canon",5,8000000,40000000,"Electronics",2023,"Surabaya"
